CMDLINE python3 scripts/train.py
MEM 0.375000 1719570601.4157
MEM 18.500000 1719570601.5166
MEM 31.578125 1719570601.6174
MEM 78.703125 1719570601.7183
MEM 86.023438 1719570601.8191
MEM 94.648438 1719570601.9200
MEM 98.898438 1719570602.0211
MEM 101.398438 1719570602.1224
MEM 104.648438 1719570602.2265
MEM 108.148438 1719570602.3274
MEM 112.484375 1719570602.4282
MEM 116.234375 1719570602.5305
MEM 119.484375 1719570602.6325
MEM 144.734375 1719570602.7333
MEM 157.109375 1719570602.8342
MEM 166.109375 1719570602.9346
MEM 172.734375 1719570603.0354
MEM 176.234375 1719570603.1362
MEM 181.984375 1719570603.2369
MEM 182.859375 1719570603.3385
MEM 200.859375 1719570603.4394
MEM 236.734375 1719570603.5403
MEM 330.484375 1719570603.6412
MEM 351.359375 1719570603.7425
MEM 359.234375 1719570603.8434
MEM 366.734375 1719570603.9443
MEM 372.859375 1719570604.0451
MEM 381.359375 1719570604.1460
MEM 390.359375 1719570604.2469
MEM 422.484375 1719570604.3478
MEM 441.359375 1719570604.4486
MEM 448.609375 1719570604.5495
MEM 452.484375 1719570604.6505
MEM 454.484375 1719570604.7514
MEM 457.859375 1719570604.8523
MEM 464.085938 1719570604.9532
MEM 468.210938 1719570605.0540
MEM 468.710938 1719570605.1545
MEM 469.585938 1719570605.2554
MEM 474.710938 1719570605.3563
MEM 479.335938 1719570605.4572
MEM 482.085938 1719570605.5582
MEM 486.835938 1719570605.6587
MEM 488.085938 1719570605.7596
MEM 495.085938 1719570605.8604
MEM 509.585938 1719570605.9625
MEM 522.085938 1719570606.0634
MEM 524.960938 1719570606.1643
MEM 529.835938 1719570606.2651
MEM 540.585938 1719570606.3660
MEM 548.710938 1719570606.4666
MEM 556.335938 1719570606.5675
MEM 559.585938 1719570606.6684
MEM 560.710938 1719570606.7693
MEM 566.585938 1719570606.8701
MEM 569.585938 1719570606.9706
MEM 572.460938 1719570607.0714
MEM 573.085938 1719570607.1723
MEM 575.085938 1719570607.2732
MEM 735.210938 1719570607.3741
MEM 950.210938 1719570607.4746
MEM 913.953125 1719570607.5754
MEM 849.125000 1719570607.6762
MEM 867.750000 1719570607.7771
MEM 869.125000 1719570607.8786
MEM 874.625000 1719570607.9794
MEM 879.500000 1719570608.0820
MEM 882.125000 1719570608.1826
MEM 885.250000 1719570608.2834
MEM 886.250000 1719570608.3844
MEM 886.500000 1719570608.4853
MEM 887.250000 1719570608.5862
MEM 888.000000 1719570608.6869
MEM 911.500000 1719570608.7881
MEM 922.078125 1719570608.8890
MEM 957.203125 1719570608.9900
MEM 962.578125 1719570609.0906
MEM 964.578125 1719570609.1915
MEM 967.328125 1719570609.2923
MEM 968.953125 1719570609.3932
MEM 969.078125 1719570609.4940
MEM 969.953125 1719570609.5958
MEM 970.453125 1719570609.6966
MEM 979.453125 1719570609.7975
MEM 979.953125 1719570609.8985
MEM 980.078125 1719570609.9994
MEM 980.078125 1719570610.1002
MEM 980.078125 1719570610.2011
MEM 980.078125 1719570610.3020
MEM 980.078125 1719570610.4028
MEM 980.078125 1719570610.5033
MEM 980.078125 1719570610.6041
MEM 980.078125 1719570610.7050
MEM 980.828125 1719570610.8059
MEM 980.953125 1719570610.9067
MEM 980.953125 1719570611.0076
MEM 980.953125 1719570611.1085
MEM 980.953125 1719570611.2094
MEM 980.953125 1719570611.3103
MEM 983.203125 1719570611.4112
MEM 983.203125 1719570611.5120
MEM 983.203125 1719570611.6130
MEM 983.203125 1719570611.7140
MEM 984.328125 1719570611.8149
MEM 987.078125 1719570611.9157
MEM 1001.703125 1719570612.0166
MEM 1129.703125 1719570612.1175
MEM 1222.750000 1719570612.2184
MEM 1131.000000 1719570612.3197
MEM 1131.375000 1719570612.4206
MEM 1132.625000 1719570612.5214
MEM 1132.875000 1719570612.6224
MEM 1133.125000 1719570612.7233
MEM 1256.625000 1719570612.8267
MEM 1446.625000 1719570612.9305
MEM 1575.125000 1719570613.0330
MEM 1693.125000 1719570613.1339
MEM 1805.250000 1719570613.2346
MEM 1909.125000 1719570613.3355
MEM 1914.250000 1719570613.4364
MEM 1914.250000 1719570613.5394
MEM 1914.250000 1719570613.6427
MEM 1914.250000 1719570613.7437
MEM 1914.250000 1719570613.8466
MEM 1914.250000 1719570613.9476
MEM 1914.250000 1719570614.0506
MEM 1914.250000 1719570614.1516
MEM 1914.250000 1719570614.2546
MEM 1919.250000 1719570614.3587
MEM 1943.000000 1719570614.4625
MEM 1967.125000 1719570614.5666
MEM 1989.750000 1719570614.6700
MEM 2014.750000 1719570614.7745
MEM 2038.875000 1719570614.8786
MEM 2063.625000 1719570614.9826
MEM 2095.125000 1719570615.0835
MEM 1730.863281 1719570615.1843
MEM 1612.375000 1719570615.2866
MEM 1822.125000 1719570615.3876
MEM 1969.000000 1719570615.4906
MEM 2192.625000 1719570615.5946
MEM 2039.835938 1719570615.6954
MEM 1523.757812 1719570615.7962
MEM 1534.257812 1719570615.8971
MEM 1536.382812 1719570615.9980
MEM 1545.507812 1719570616.0986
MEM 1557.257812 1719570616.1995
MEM 1574.382812 1719570616.3004
MEM 1574.507812 1719570616.4013
MEM 1574.507812 1719570616.5022
MEM 1574.507812 1719570616.6031
MEM 1670.507812 1719570616.7041
MEM 1670.507812 1719570616.8051
MEM 1670.566406 1719570616.9060
MEM 1685.316406 1719570617.0068
MEM 1643.714844 1719570617.1106
MEM 1656.089844 1719570617.2146
MEM 1656.089844 1719570617.3186
MEM 1656.089844 1719570617.4226
MEM 1656.089844 1719570617.5266
MEM 1656.089844 1719570617.6306
MEM 1656.089844 1719570617.7346
MEM 1656.089844 1719570617.8355
MEM 1672.089844 1719570617.9363
MEM 1672.214844 1719570618.0373
MEM 1672.714844 1719570618.1388
MEM 1690.589844 1719570618.2397
MEM 1702.089844 1719570618.3406
MEM 1718.464844 1719570618.4415
MEM 1726.464844 1719570618.5424
MEM 1775.839844 1719570618.6466
MEM 1840.089844 1719570618.7506
MEM 1879.214844 1719570618.8531
MEM 1863.027344 1719570618.9540
MEM 1863.074219 1719570619.0546
MEM 1863.074219 1719570619.1556
MEM 1990.949219 1719570619.2565
MEM 2102.824219 1719570619.3586
MEM 1991.203125 1719570619.4594
MEM 2011.218750 1719570619.5603
MEM 1863.222656 1719570619.6612
MEM 1889.972656 1719570619.7630
MEM 1927.347656 1719570619.8670
MEM 1963.097656 1719570619.9703
MEM 1991.222656 1719570620.0752
MEM 1995.972656 1719570620.1786
MEM 1999.972656 1719570620.2827
MEM 1765.292969 1719570620.3870
MEM 1713.304688 1719570620.4879
MEM 1713.304688 1719570620.5906
MEM 1713.304688 1719570620.6925
MEM 1713.304688 1719570620.7938
MEM 1713.679688 1719570620.8946
MEM 1713.804688 1719570620.9962
MEM 1713.804688 1719570621.0970
MEM 1751.054688 1719570621.1986
MEM 1841.804688 1719570621.3026
MEM 1841.804688 1719570621.4050
MEM 1861.804688 1719570621.5065
MEM 1794.101562 1719570621.6107
MEM 1804.105469 1719570621.7117
MEM 1804.609375 1719570621.8146
MEM 1816.484375 1719570621.9186
MEM 1816.484375 1719570622.0225
MEM 1816.484375 1719570622.1236
MEM 1816.484375 1719570622.2245
MEM 1816.484375 1719570622.3266
MEM 1816.484375 1719570622.4277
MEM 1816.484375 1719570622.5285
MEM 1816.484375 1719570622.6294
MEM 1816.484375 1719570622.7305
MEM 1816.484375 1719570622.8318
MEM 1848.484375 1719570622.9346
MEM 1819.500000 1719570623.0355
MEM 1880.250000 1719570623.1363
MEM 1872.933594 1719570623.2387
MEM 1875.449219 1719570623.3397
MEM 1854.636719 1719570623.4436
MEM 1816.789062 1719570623.5444
MEM 1816.914062 1719570623.6453
MEM 1816.914062 1719570623.7468
MEM 1816.914062 1719570623.8477
MEM 1935.414062 1719570623.9486
MEM 1944.914062 1719570624.0497
MEM 1953.539062 1719570624.1506
MEM 1913.015625 1719570624.2514
MEM 1951.398438 1719570624.3546
MEM 1884.351562 1719570624.4586
MEM 1884.351562 1719570624.5626
MEM 1884.351562 1719570624.6666
MEM 1884.351562 1719570624.7706
MEM 1884.351562 1719570624.8746
MEM 1884.351562 1719570624.9785
MEM 1884.351562 1719570625.0826
MEM 1884.351562 1719570625.1873
MEM 1884.351562 1719570625.2881
MEM 1884.351562 1719570625.3890
MEM 1885.242188 1719570625.4899
MEM 1981.242188 1719570625.5946
MEM 1981.242188 1719570625.6986
MEM 2002.492188 1719570625.7994
MEM 1933.710938 1719570625.9025
MEM 1933.710938 1719570626.0066
MEM 1933.710938 1719570626.1105
MEM 1933.710938 1719570626.2146
MEM 1933.710938 1719570626.3186
MEM 1933.710938 1719570626.4196
MEM 1933.710938 1719570626.5226
MEM 1933.710938 1719570626.6234
MEM 1991.460938 1719570626.7266
MEM 2070.210938 1719570626.8306
MEM 2224.835938 1719570626.9346
MEM 2116.011719 1719570627.0355
MEM 2228.656250 1719570627.1361
MEM 2257.750000 1719570627.2373
MEM 2154.007812 1719570627.3381
MEM 2132.019531 1719570627.4419
MEM 2166.144531 1719570627.5426
MEM 2200.394531 1719570627.6466
MEM 2229.769531 1719570627.7512
MEM 2233.769531 1719570627.8546
MEM 2237.644531 1719570627.9567
MEM 1973.644531 1719570628.0576
MEM 2101.769531 1719570628.1586
MEM 2101.769531 1719570628.2622
MEM 2118.144531 1719570628.3666
MEM 2089.515625 1719570628.4694
MEM 2038.843750 1719570628.5709
MEM 2040.968750 1719570628.6719
MEM 2040.968750 1719570628.7745
MEM 2040.968750 1719570628.8788
MEM 2040.968750 1719570628.9825
MEM 2040.968750 1719570629.0860
MEM 2040.968750 1719570629.1867
MEM 2040.968750 1719570629.2876
MEM 2040.968750 1719570629.3906
MEM 2040.968750 1719570629.4945
MEM 2078.218750 1719570629.5962
MEM 2100.085938 1719570629.6971
MEM 2194.546875 1719570629.7980
MEM 2201.046875 1719570629.8987
MEM 2211.796875 1719570630.0026
MEM 2150.187500 1719570630.1066
MEM 2137.054688 1719570630.2106
MEM 2137.054688 1719570630.3145
MEM 2137.054688 1719570630.4185
MEM 2137.054688 1719570630.5226
MEM 2137.054688 1719570630.6266
MEM 2137.054688 1719570630.7306
MEM 2137.054688 1719570630.8346
MEM 2137.054688 1719570630.9387
MEM 2137.054688 1719570631.0426
MEM 2137.054688 1719570631.1435
MEM 2151.675781 1719570631.2453
MEM 2177.050781 1719570631.3464
MEM 2177.050781 1719570631.4506
MEM 2153.300781 1719570631.5546
MEM 2153.300781 1719570631.6585
MEM 2153.300781 1719570631.7625
MEM 2153.300781 1719570631.8665
MEM 2153.300781 1719570631.9692
MEM 2153.300781 1719570632.0707
MEM 2153.300781 1719570632.1717
MEM 2153.300781 1719570632.2726
MEM 2186.050781 1719570632.3746
MEM 2264.425781 1719570632.4786
MEM 2364.175781 1719570632.5826
MEM 2333.527344 1719570632.6835
MEM 2301.367188 1719570632.7845
MEM 2356.117188 1719570632.8866
MEM 2472.867188 1719570632.9905
MEM 2447.085938 1719570633.0946
MEM 2303.703125 1719570633.1985
MEM 2341.078125 1719570633.3031
MEM 2377.578125 1719570633.4069
MEM 2414.328125 1719570633.5110
MEM 2430.578125 1719570633.6118
MEM 2432.578125 1719570633.7127
MEM 2434.328125 1719570633.8146
MEM 2436.328125 1719570633.9186
MEM 2437.328125 1719570634.0205
MEM 2178.203125 1719570634.1214
MEM 2301.328125 1719570634.2226
MEM 2301.328125 1719570634.3243
MEM 2316.078125 1719570634.4266
MEM 2284.496094 1719570634.5306
MEM 2239.992188 1719570634.6346
MEM 2240.617188 1719570634.7386
MEM 2240.617188 1719570634.8426
MEM 2240.617188 1719570634.9466
MEM 2240.617188 1719570635.0506
MEM 2240.617188 1719570635.1546
MEM 2240.617188 1719570635.2587
MEM 2240.617188 1719570635.3626
MEM 2240.617188 1719570635.4665
MEM 2240.617188 1719570635.5675
MEM 2303.875000 1719570635.6692
MEM 2348.164062 1719570635.7701
MEM 2400.664062 1719570635.8707
MEM 2402.039062 1719570635.9745
MEM 2424.789062 1719570636.0754
MEM 2438.539062 1719570636.1772
MEM 2336.562500 1719570636.2786
MEM 2336.562500 1719570636.3825
MEM 2336.562500 1719570636.4865
MEM 2336.562500 1719570636.5906
MEM 2336.562500 1719570636.6916
MEM 2336.562500 1719570636.7946
MEM 2336.562500 1719570636.8986
MEM 2336.562500 1719570637.0027
MEM 2336.562500 1719570637.1066
MEM 2304.667969 1719570637.2077
