CMDLINE python3 scripts/generate_text.py
MEM 0.625000 1719623277.3083
MEM 18.871094 1719623277.4091
MEM 24.402344 1719623277.5099
MEM 30.402344 1719623277.6105
MEM 36.152344 1719623277.7113
MEM 49.027344 1719623277.8121
MEM 57.027344 1719623277.9129
MEM 65.402344 1719623278.0137
MEM 75.902344 1719623278.1150
MEM 80.277344 1719623278.2158
MEM 83.777344 1719623278.3166
MEM 88.277344 1719623278.4186
MEM 93.027344 1719623278.5199
MEM 96.402344 1719623278.6216
MEM 99.277344 1719623278.7225
MEM 101.027344 1719623278.8233
MEM 103.402344 1719623278.9241
MEM 106.152344 1719623279.0249
MEM 108.152344 1719623279.1258
MEM 111.937500 1719623279.2265
MEM 113.937500 1719623279.3274
MEM 116.562500 1719623279.4282
MEM 128.187500 1719623279.5290
MEM 135.937500 1719623279.6303
MEM 142.937500 1719623279.7311
MEM 151.562500 1719623279.8319
MEM 154.312500 1719623279.9327
MEM 159.937500 1719623280.0336
MEM 163.937500 1719623280.1344
MEM 167.812500 1719623280.2351
MEM 172.437500 1719623280.3360
MEM 174.312500 1719623280.4368
MEM 178.437500 1719623280.5376
MEM 183.062500 1719623280.6384
MEM 186.312500 1719623280.7392
MEM 189.437500 1719623280.8400
MEM 192.937500 1719623280.9408
MEM 195.437500 1719623281.0416
MEM 197.062500 1719623281.1424
MEM 199.437500 1719623281.2432
MEM 202.937500 1719623281.3441
MEM 203.812500 1719623281.4449
MEM 205.312500 1719623281.5456
MEM 206.812500 1719623281.6465
MEM 208.437500 1719623281.7473
MEM 219.937500 1719623281.8481
MEM 229.562500 1719623281.9489
MEM 244.187500 1719623282.0497
MEM 252.562500 1719623282.1505
MEM 262.062500 1719623282.2514
MEM 270.437500 1719623282.3521
MEM 315.687500 1719623282.4530
MEM 352.062500 1719623282.5538
MEM 365.437500 1719623282.6546
MEM 374.062500 1719623282.7554
MEM 381.812500 1719623282.8562
MEM 390.562500 1719623282.9571
MEM 396.812500 1719623283.0579
MEM 405.312500 1719623283.1586
MEM 412.937500 1719623283.2594
MEM 423.312500 1719623283.3602
MEM 433.937500 1719623283.4610
MEM 449.312500 1719623283.5620
MEM 459.007812 1719623283.6625
MEM 466.757812 1719623283.7629
MEM 470.507812 1719623283.8639
MEM 473.257812 1719623283.9647
MEM 476.757812 1719623284.0655
MEM 478.632812 1719623284.1664
MEM 479.632812 1719623284.2672
MEM 479.757812 1719623284.3680
MEM 482.007812 1719623284.4688
MEM 484.507812 1719623284.5696
MEM 487.757812 1719623284.6705
MEM 489.757812 1719623284.7713
MEM 490.132812 1719623284.8722
MEM 492.507812 1719623284.9730
MEM 497.757812 1719623285.0739
MEM 501.507812 1719623285.1746
MEM 504.007812 1719623285.2753
MEM 504.132812 1719623285.3761
MEM 504.257812 1719623285.4769
MEM 504.507812 1719623285.5777
MEM 508.132812 1719623285.6785
MEM 508.382812 1719623285.7793
MEM 508.632812 1719623285.8812
MEM 509.257812 1719623285.9819
MEM 514.132812 1719623286.0825
MEM 526.007812 1719623286.1833
MEM 537.757812 1719623286.2841
MEM 548.632812 1719623286.3849
MEM 556.507812 1719623286.4858
MEM 565.714844 1719623286.5865
MEM 664.949219 1719623286.6906
MEM 812.449219 1719623286.7946
MEM 698.132812 1719623286.8955
MEM 698.132812 1719623286.9961
MEM 699.507812 1719623287.0970
MEM 701.757812 1719623287.1978
MEM 703.632812 1719623287.2986
MEM 705.257812 1719623287.3994
MEM 848.007812 1719623287.5026
MEM 1084.257812 1719623287.6066
MEM 1215.382812 1719623287.7075
MEM 1340.007812 1719623287.8083
MEM 1466.632812 1719623287.9091
MEM 1486.632812 1719623288.0101
MEM 1486.632812 1719623288.1107
MEM 1486.632812 1719623288.2146
MEM 1486.632812 1719623288.3180
MEM 1486.632812 1719623288.4226
MEM 1486.632812 1719623288.5266
MEM 1486.632812 1719623288.6296
MEM 1486.632812 1719623288.7307
MEM 1486.632812 1719623288.8346
MEM 1503.632812 1719623288.9392
MEM 1526.632812 1719623289.0425
MEM 1549.757812 1719623289.1466
MEM 1572.507812 1719623289.2475
MEM 1596.132812 1719623289.3505
MEM 1617.757812 1719623289.4521
MEM 1643.007812 1719623289.5529
MEM 1674.632812 1719623289.6537
MEM 1113.832031 1719623289.7545
MEM 1258.757812 1719623289.8586
MEM 1468.632812 1719623289.9595
MEM 1629.257812 1719623290.0626
MEM 1855.132812 1719623290.1666
MEM 1259.593750 1719623290.2676
MEM 1105.511719 1719623290.3684
MEM 1108.386719 1719623290.4693
MEM 1111.425781 1719623290.5701
MEM 1130.550781 1719623290.6705
MEM 1147.550781 1719623290.7714
MEM 1147.675781 1719623290.8722
MEM 1147.675781 1719623290.9731
MEM 1206.675781 1719623291.0740
MEM 1243.675781 1719623291.1746
MEM 1254.800781 1719623291.2786
MEM 1230.519531 1719623291.3826
MEM 1197.207031 1719623291.4835
MEM 1224.957031 1719623291.5843
MEM 1228.957031 1719623291.6851
MEM 1228.957031 1719623291.7859
MEM 1228.957031 1719623291.8866
MEM 1228.957031 1719623291.9878
MEM 1228.957031 1719623292.0905
MEM 1228.957031 1719623292.1946
MEM 1237.082031 1719623292.2985
MEM 1245.332031 1719623292.3994
MEM 1245.457031 1719623292.5002
MEM 1264.582031 1719623292.6010
MEM 1280.707031 1719623292.7018
MEM 1292.832031 1719623292.8028
MEM 1316.957031 1719623292.9036
MEM 1367.082031 1719623293.0065
MEM 1435.457031 1719623293.1106
MEM 1512.832031 1719623293.2146
MEM 1482.039062 1719623293.3186
MEM 1453.585938 1719623293.4218
MEM 1495.835938 1719623293.5266
MEM 1619.085938 1719623293.6293
MEM 1581.664062 1719623293.7302
MEM 1655.164062 1719623293.8346
MEM 1453.710938 1719623293.9387
MEM 1455.335938 1719623294.0429
MEM 1492.335938 1719623294.1465
MEM 1527.210938 1719623294.2508
