CMDLINE python3 train_vishwamai_model.py
MEM 0.375000 1718984178.4085
MEM 16.875000 1718984178.5140
MEM 26.097656 1718984178.6178
MEM 38.347656 1718984178.7186
MEM 120.597656 1718984178.8194
MEM 129.097656 1718984178.9203
MEM 215.347656 1718984179.0212
MEM 275.972656 1718984179.1218
MEM 283.285156 1718984179.2226
MEM 286.785156 1718984179.3234
MEM 291.785156 1718984179.4245
MEM 298.285156 1718984179.5253
MEM 304.285156 1718984179.6261
MEM 307.160156 1718984179.7269
MEM 310.285156 1718984179.8277
MEM 315.285156 1718984179.9285
MEM 323.410156 1718984180.0293
MEM 336.445312 1718984180.1298
MEM 344.570312 1718984180.2306
MEM 347.945312 1718984180.3314
MEM 355.320312 1718984180.4322
MEM 369.695312 1718984180.5331
MEM 382.070312 1718984180.6338
MEM 388.945312 1718984180.7346
MEM 429.195312 1718984180.8355
MEM 434.195312 1718984180.9363
MEM 444.570312 1718984181.0371
MEM 448.570312 1718984181.1378
MEM 453.195312 1718984181.2386
MEM 462.445312 1718984181.3395
MEM 465.890625 1718984181.4403
MEM 470.265625 1718984181.5416
MEM 477.640625 1718984181.6424
MEM 483.765625 1718984181.7432
MEM 514.515625 1718984181.8440
MEM 527.390625 1718984181.9448
MEM 535.265625 1718984182.0456
MEM 544.140625 1718984182.1464
MEM 549.390625 1718984182.2473
MEM 550.890625 1718984182.3481
MEM 554.515625 1718984182.4490
MEM 558.015625 1718984182.5499
MEM 561.890625 1718984182.6507
MEM 564.765625 1718984182.7515
MEM 565.015625 1718984182.8524
MEM 565.515625 1718984182.9532
MEM 565.640625 1718984183.0540
MEM 566.140625 1718984183.1548
MEM 569.265625 1718984183.2557
MEM 569.265625 1718984183.3565
MEM 603.515625 1718984183.4571
MEM 606.890625 1718984183.5579
MEM 623.265625 1718984183.6587
MEM 624.265625 1718984183.7595
MEM 626.515625 1718984183.8618
MEM 626.640625 1718984183.9627
MEM 626.765625 1718984184.0637
MEM 626.890625 1718984184.1645
MEM 627.265625 1718984184.2654
MEM 633.015625 1718984184.3658
MEM 633.390625 1718984184.4667
MEM 633.765625 1718984184.5675
MEM 633.765625 1718984184.6698
MEM 633.890625 1718984184.7707
MEM 633.890625 1718984184.8715
MEM 638.265625 1718984184.9724
MEM 640.265625 1718984185.0733
MEM 660.265625 1718984185.1740
MEM 660.281250 1718984185.2749
MEM 660.484375 1718984185.3758
MEM 660.484375 1718984185.4766
MEM 660.609375 1718984185.5774
MEM 660.734375 1718984185.6778
MEM 660.859375 1718984185.7787
MEM 660.984375 1718984185.8795
MEM 660.984375 1718984185.9803
MEM 661.109375 1718984186.0812
MEM 661.484375 1718984186.1821
MEM 661.859375 1718984186.2829
MEM 669.109375 1718984186.3838
MEM 671.734375 1718984186.4846
MEM 674.359375 1718984186.5855
MEM 676.484375 1718984186.6864
MEM 678.484375 1718984186.7872
MEM 680.609375 1718984186.8877
MEM 682.734375 1718984186.9886
MEM 683.359375 1718984187.0894
MEM 683.609375 1718984187.1898
MEM 683.734375 1718984187.2903
MEM 683.734375 1718984187.3913
MEM 685.109375 1718984187.4922
MEM 687.234375 1718984187.5930
MEM 688.234375 1718984187.6938
MEM 688.859375 1718984187.7946
MEM 689.984375 1718984187.8955
MEM 690.109375 1718984187.9963
MEM 690.234375 1718984188.0971
MEM 690.234375 1718984188.1978
MEM 690.609375 1718984188.2987
MEM 691.984375 1718984188.3996
MEM 694.109375 1718984188.5004
MEM 694.484375 1718984188.6013
MEM 696.609375 1718984188.7022
MEM 698.609375 1718984188.8030
MEM 698.609375 1718984188.9038
MEM 698.734375 1718984189.0047
MEM 698.859375 1718984189.1056
MEM 700.859375 1718984189.2064
MEM 701.609375 1718984189.3077
MEM 703.109375 1718984189.4086
MEM 703.984375 1718984189.5094
MEM 705.609375 1718984189.6098
MEM 705.609375 1718984189.7106
MEM 705.734375 1718984189.8138
MEM 705.859375 1718984189.9146
MEM 705.859375 1718984190.0155
MEM 706.609375 1718984190.1164
MEM 708.734375 1718984190.2172
MEM 709.984375 1718984190.3178
MEM 712.734375 1718984190.4186
MEM 713.859375 1718984190.5195
MEM 716.484375 1718984190.6203
MEM 718.859375 1718984190.7212
MEM 718.984375 1718984190.8218
MEM 719.109375 1718984190.9227
MEM 719.234375 1718984191.0235
MEM 719.234375 1718984191.1244
MEM 721.234375 1718984191.2252
