CMDLINE python3 scripts/flask_app.py
MEM 0.375000 1718710080.2242
MEM 19.125000 1718710080.3250
MEM 23.847656 1718710080.4258
MEM 28.035156 1718710080.5266
MEM 32.945312 1718710080.6274
MEM 35.695312 1718710080.7282
MEM 39.070312 1718710080.8291
MEM 40.320312 1718710080.9299
MEM 44.445312 1718710081.0308
MEM 50.070312 1718710081.1321
MEM 54.070312 1718710081.2329
MEM 59.320312 1718710081.3337
MEM 71.320312 1718710081.4345
MEM 83.820312 1718710081.5353
MEM 93.445312 1718710081.6361
MEM 100.945312 1718710081.7370
MEM 109.320312 1718710081.8378
MEM 116.820312 1718710081.9385
MEM 158.820312 1718710082.0394
MEM 195.320312 1718710082.1401
MEM 209.320312 1718710082.2409
MEM 216.945312 1718710082.3417
MEM 225.070312 1718710082.4425
MEM 232.820312 1718710082.5434
MEM 240.695312 1718710082.6442
MEM 248.070312 1718710082.7450
MEM 255.570312 1718710082.8459
MEM 263.445312 1718710082.9471
MEM 272.570312 1718710083.0480
MEM 281.070312 1718710083.1488
MEM 295.820312 1718710083.2496
MEM 304.195312 1718710083.3505
MEM 312.820312 1718710083.4513
MEM 316.820312 1718710083.5520
MEM 319.820312 1718710083.6529
MEM 324.222656 1718710083.7537
MEM 326.347656 1718710083.8545
MEM 329.222656 1718710083.9553
MEM 332.722656 1718710084.0561
MEM 336.222656 1718710084.1569
MEM 338.972656 1718710084.2577
MEM 340.722656 1718710084.3586
MEM 346.472656 1718710084.4594
MEM 350.222656 1718710084.5602
MEM 352.222656 1718710084.6610
MEM 354.347656 1718710084.7618
MEM 356.347656 1718710084.8626
MEM 365.972656 1718710084.9632
MEM 372.347656 1718710085.0640
MEM 378.097656 1718710085.1648
MEM 386.222656 1718710085.2655
MEM 393.597656 1718710085.3664
MEM 397.847656 1718710085.4672
MEM 401.722656 1718710085.5680
MEM 408.847656 1718710085.6689
MEM 413.097656 1718710085.7697
MEM 415.722656 1718710085.8705
MEM 417.972656 1718710085.9713
MEM 419.972656 1718710086.0721
MEM 421.222656 1718710086.1730
MEM 423.847656 1718710086.2738
MEM 426.972656 1718710086.3746
MEM 431.347656 1718710086.4754
MEM 432.222656 1718710086.5777
MEM 432.222656 1718710086.6787
MEM 432.222656 1718710086.7804
MEM 432.347656 1718710086.8814
MEM 435.281250 1718710086.9822
MEM 442.031250 1718710087.0830
MEM 443.031250 1718710087.1838
MEM 447.031250 1718710087.2846
MEM 454.031250 1718710087.3850
MEM 460.031250 1718710087.4858
MEM 0.000000 1718710087.5866
