CMDLINE flask run
MEM 0.375000 1718711378.3368
MEM 14.625000 1718711378.4376
MEM 21.714844 1718711378.5384
MEM 25.339844 1718711378.6392
MEM 26.714844 1718711378.7400
MEM 27.089844 1718711378.8409
MEM 30.894531 1718711378.9417
MEM 35.574219 1718711379.0426
MEM 38.199219 1718711379.1434
MEM 39.949219 1718711379.2442
MEM 41.324219 1718711379.3452
MEM 47.449219 1718711379.4491
MEM 51.074219 1718711379.5499
MEM 54.324219 1718711379.6506
MEM 58.199219 1718711379.7514
MEM 71.074219 1718711379.8522
MEM 79.074219 1718711379.9530
MEM 92.824219 1718711380.0538
MEM 99.699219 1718711380.1547
MEM 108.449219 1718711380.2555
MEM 114.949219 1718711380.3563
MEM 146.699219 1718711380.4571
MEM 186.199219 1718711380.5579
MEM 205.449219 1718711380.6587
MEM 213.949219 1718711380.7595
MEM 221.824219 1718711380.8603
MEM 228.574219 1718711380.9611
MEM 236.699219 1718711381.0619
MEM 243.199219 1718711381.1627
MEM 251.199219 1718711381.2636
MEM 257.949219 1718711381.3646
MEM 266.949219 1718711381.4650
MEM 275.949219 1718711381.5658
MEM 290.824219 1718711381.6666
MEM 299.824219 1718711381.7675
MEM 308.074219 1718711381.8682
MEM 313.699219 1718711381.9690
MEM 317.699219 1718711382.0699
MEM 319.699219 1718711382.1707
MEM 324.238281 1718711382.2715
MEM 326.238281 1718711382.3722
MEM 328.363281 1718711382.4730
MEM 330.863281 1718711382.5737
MEM 333.863281 1718711382.6746
MEM 337.113281 1718711382.7754
MEM 339.363281 1718711382.8762
MEM 342.113281 1718711382.9771
MEM 347.363281 1718711383.0779
MEM 350.988281 1718711383.1789
MEM 352.613281 1718711383.2796
MEM 352.738281 1718711383.3803
MEM 353.113281 1718711383.4810
MEM 356.613281 1718711383.5818
MEM 356.863281 1718711383.6825
MEM 363.113281 1718711383.7833
MEM 371.988281 1718711383.8841
MEM 379.113281 1718711383.9849
MEM 389.488281 1718711384.0857
MEM 393.988281 1718711384.1866
MEM 398.613281 1718711384.2874
MEM 402.488281 1718711384.3881
MEM 409.363281 1718711384.4889
MEM 413.488281 1718711384.5897
MEM 416.113281 1718711384.6906
MEM 418.238281 1718711384.7914
MEM 420.113281 1718711384.8923
MEM 421.113281 1718711384.9930
MEM 423.488281 1718711385.0938
MEM 426.863281 1718711385.1945
MEM 428.613281 1718711385.2979
MEM 428.738281 1718711385.3989
MEM 428.738281 1718711385.4998
MEM 428.738281 1718711385.6044
MEM 428.863281 1718711385.7065
MEM 431.804688 1718711385.8073
MEM 437.679688 1718711385.9081
MEM 439.554688 1718711386.0090
MEM 442.179688 1718711386.1098
MEM 449.804688 1718711386.2106
MEM 456.429688 1718711386.3115
MEM 0.000000 1718711386.4123
