CMDLINE python3 scripts/train.py
MEM 0.375000 1719570341.3005
MEM 18.125000 1719570341.4014
MEM 31.164062 1719570341.5023
MEM 76.664062 1719570341.6038
MEM 83.492188 1719570341.7046
MEM 91.617188 1719570341.8055
MEM 97.367188 1719570341.9070
MEM 100.117188 1719570342.0104
MEM 101.992188 1719570342.1113
MEM 105.992188 1719570342.2122
MEM 108.992188 1719570342.3135
MEM 112.777344 1719570342.4147
MEM 116.277344 1719570342.5185
MEM 119.027344 1719570342.6225
MEM 146.152344 1719570342.7266
MEM 157.902344 1719570342.8274
MEM 167.027344 1719570342.9283
MEM 172.402344 1719570343.0292
MEM 175.777344 1719570343.1301
MEM 181.277344 1719570343.2308
MEM 182.402344 1719570343.3316
MEM 201.152344 1719570343.4325
MEM 236.277344 1719570343.5334
MEM 335.777344 1719570343.6344
MEM 353.652344 1719570343.7352
MEM 363.902344 1719570343.8361
MEM 372.277344 1719570343.9370
MEM 381.652344 1719570344.0386
MEM 388.527344 1719570344.1394
MEM 401.902344 1719570344.2403
MEM 431.527344 1719570344.3412
MEM 437.527344 1719570344.4420
MEM 443.402344 1719570344.5426
MEM 449.402344 1719570344.6434
MEM 451.402344 1719570344.7443
MEM 455.652344 1719570344.8452
MEM 460.964844 1719570344.9461
MEM 464.714844 1719570345.0466
MEM 467.464844 1719570345.1473
MEM 467.839844 1719570345.2482
MEM 470.464844 1719570345.3490
MEM 475.714844 1719570345.4499
MEM 479.214844 1719570345.5506
MEM 482.089844 1719570345.6514
MEM 485.714844 1719570345.7531
MEM 488.339844 1719570345.8540
MEM 492.714844 1719570345.9546
MEM 496.589844 1719570346.0554
MEM 501.714844 1719570346.1562
MEM 506.964844 1719570346.2571
MEM 511.589844 1719570346.3579
MEM 516.089844 1719570346.4587
MEM 520.839844 1719570346.5595
MEM 523.964844 1719570346.6603
MEM 526.964844 1719570346.7612
MEM 530.964844 1719570346.8619
MEM 533.964844 1719570346.9626
MEM 538.339844 1719570347.0635
MEM 542.964844 1719570347.1639
MEM 551.339844 1719570347.2648
MEM 557.839844 1719570347.3656
MEM 557.964844 1719570347.4673
MEM 562.214844 1719570347.5681
MEM 566.339844 1719570347.6725
MEM 568.089844 1719570347.7733
MEM 570.464844 1719570347.8743
MEM 571.464844 1719570347.9751
MEM 572.339844 1719570348.0759
MEM 576.589844 1719570348.1768
MEM 581.964844 1719570348.2777
MEM 634.964844 1719570348.3786
MEM 700.589844 1719570348.4795
MEM 756.089844 1719570348.5804
MEM 817.214844 1719570348.6812
MEM 877.964844 1719570348.7820
MEM 937.339844 1719570348.8826
MEM 998.714844 1719570348.9834
MEM 1060.714844 1719570349.0845
MEM 843.398438 1719570349.1854
MEM 849.582031 1719570349.2863
MEM 863.207031 1719570349.3872
MEM 868.457031 1719570349.4880
MEM 869.457031 1719570349.5889
MEM 871.207031 1719570349.6897
MEM 876.457031 1719570349.7906
MEM 878.582031 1719570349.8914
MEM 880.582031 1719570349.9923
MEM 882.832031 1719570350.0932
MEM 884.582031 1719570350.1940
MEM 885.082031 1719570350.2949
MEM 885.082031 1719570350.3958
MEM 886.457031 1719570350.4966
MEM 894.457031 1719570350.5986
MEM 925.582031 1719570350.6995
MEM 921.628906 1719570350.8003
MEM 926.753906 1719570350.9011
MEM 936.378906 1719570351.0019
MEM 948.378906 1719570351.1027
MEM 956.628906 1719570351.2035
MEM 960.753906 1719570351.3044
MEM 962.503906 1719570351.4052
MEM 963.378906 1719570351.5061
MEM 965.628906 1719570351.6066
MEM 967.003906 1719570351.7106
MEM 967.128906 1719570351.8114
MEM 967.878906 1719570351.9123
MEM 968.128906 1719570352.0132
MEM 972.878906 1719570352.1137
MEM 977.378906 1719570352.2145
MEM 977.878906 1719570352.3154
MEM 977.878906 1719570352.4163
MEM 977.878906 1719570352.5172
MEM 977.878906 1719570352.6181
MEM 977.878906 1719570352.7186
MEM 977.878906 1719570352.8226
MEM 977.878906 1719570352.9235
MEM 977.878906 1719570353.0266
MEM 977.878906 1719570353.1306
MEM 977.878906 1719570353.2315
MEM 977.878906 1719570353.3323
MEM 977.878906 1719570353.4332
MEM 978.753906 1719570353.5346
MEM 978.753906 1719570353.6375
MEM 978.753906 1719570353.7388
MEM 978.753906 1719570353.8426
MEM 978.878906 1719570353.9466
MEM 978.878906 1719570354.0506
MEM 981.128906 1719570354.1515
MEM 981.128906 1719570354.2536
MEM 981.128906 1719570354.3545
MEM 981.128906 1719570354.4554
MEM 981.128906 1719570354.5563
MEM 982.253906 1719570354.6573
MEM 984.628906 1719570354.7583
MEM 1000.003906 1719570354.8594
MEM 1124.378906 1719570354.9604
MEM 1249.628906 1719570355.0626
MEM 1128.570312 1719570355.1637
MEM 1129.820312 1719570355.2642
MEM 1130.320312 1719570355.3651
MEM 1131.320312 1719570355.4660
MEM 1131.570312 1719570355.5666
MEM 1176.570312 1719570355.6672
MEM 1391.570312 1719570355.7706
MEM 1574.945312 1719570355.8715
MEM 1700.570312 1719570355.9724
MEM 1824.820312 1719570356.0733
MEM 1912.820312 1719570356.1746
MEM 1912.820312 1719570356.2786
MEM 1912.820312 1719570356.3826
MEM 1912.820312 1719570356.4866
MEM 1912.820312 1719570356.5907
MEM 1912.820312 1719570356.6917
MEM 1912.820312 1719570356.7947
MEM 1912.820312 1719570356.8957
MEM 1912.820312 1719570356.9986
MEM 1915.445312 1719570357.1027
MEM 1939.570312 1719570357.2066
MEM 1963.195312 1719570357.3106
MEM 1987.070312 1719570357.4145
MEM 2011.445312 1719570357.5189
MEM 2034.195312 1719570357.6226
MEM 2056.945312 1719570357.7265
MEM 2086.695312 1719570357.8274
MEM 1956.578125 1719570357.9304
MEM 1522.167969 1719570358.0312
MEM 1719.542969 1719570358.1346
MEM 1912.292969 1719570358.2355
MEM 2060.542969 1719570358.3386
MEM 2282.417969 1719570358.4416
MEM 1723.511719 1719570358.5427
MEM 1522.796875 1719570358.6435
MEM 1533.796875 1719570358.7444
MEM 1543.296875 1719570358.8459
MEM 1544.046875 1719570358.9467
MEM 1564.671875 1719570359.0477
MEM 1573.171875 1719570359.1487
MEM 1573.171875 1719570359.2496
MEM 1573.171875 1719570359.3505
MEM 1633.046875 1719570359.4514
MEM 1669.171875 1719570359.5525
MEM 1679.546875 1719570359.6546
MEM 1644.265625 1719570359.7586
MEM 1621.796875 1719570359.8594
MEM 1648.421875 1719570359.9626
MEM 1654.421875 1719570360.0669
MEM 1654.421875 1719570360.1706
MEM 1654.421875 1719570360.2730
MEM 1654.421875 1719570360.3739
MEM 1654.421875 1719570360.4746
MEM 1654.421875 1719570360.5786
MEM 1654.421875 1719570360.6795
MEM 1670.546875 1719570360.7813
MEM 1670.796875 1719570360.8823
MEM 1671.671875 1719570360.9832
MEM 1696.046875 1719570361.0841
MEM 1697.546875 1719570361.1851
MEM 1697.546875 1719570361.2860
MEM 1185.730469 1719570361.3866
MEM 1107.367188 1719570361.4876
MEM 1107.367188 1719570361.5899
MEM 1107.367188 1719570361.6909
MEM 1107.367188 1719570361.7959
MEM 1107.367188 1719570361.8975
MEM 1107.367188 1719570361.9988
MEM 1107.367188 1719570362.1027
MEM 1018.089844 1719570362.2037
MEM 1025.839844 1719570362.3045
MEM 1026.089844 1719570362.4054
MEM 0.000000 1719570362.5064
MEM 0.000000 1719570362.6072
