CMDLINE python3 scripts/generate_text.py
MEM 0.375000 1719625740.8342
MEM 14.109375 1719625740.9350
MEM 20.234375 1719625741.0358
MEM 24.300781 1719625741.1366
MEM 33.675781 1719625741.2373
MEM 45.800781 1719625741.3381
MEM 53.425781 1719625741.4386
MEM 60.800781 1719625741.5394
MEM 71.050781 1719625741.6402
MEM 75.175781 1719625741.7410
MEM 80.960938 1719625741.8418
MEM 84.710938 1719625741.9426
MEM 89.210938 1719625742.0457
MEM 92.585938 1719625742.1464
MEM 95.335938 1719625742.2505
MEM 97.710938 1719625742.3513
MEM 98.960938 1719625742.4524
MEM 100.960938 1719625742.5545
MEM 102.710938 1719625742.6553
MEM 105.085938 1719625742.7561
MEM 108.710938 1719625742.8569
MEM 109.710938 1719625742.9577
MEM 113.320312 1719625743.0585
MEM 117.445312 1719625743.1593
MEM 128.320312 1719625743.2601
MEM 135.070312 1719625743.3609
MEM 142.070312 1719625743.4616
MEM 150.070312 1719625743.5625
MEM 152.945312 1719625743.6633
MEM 158.820312 1719625743.7641
MEM 162.820312 1719625743.8649
MEM 166.695312 1719625743.9657
MEM 170.195312 1719625744.0665
MEM 173.820312 1719625744.1674
MEM 176.195312 1719625744.2682
MEM 180.570312 1719625744.3690
MEM 184.070312 1719625744.4698
MEM 187.570312 1719625744.5705
MEM 190.445312 1719625744.6712
MEM 193.570312 1719625744.7721
MEM 195.570312 1719625744.8729
MEM 198.195312 1719625744.9737
MEM 202.195312 1719625745.0745
MEM 203.445312 1719625745.1754
MEM 204.445312 1719625745.2762
MEM 205.570312 1719625745.3771
MEM 207.445312 1719625745.4778
MEM 216.070312 1719625745.5786
MEM 225.820312 1719625745.6794
MEM 240.445312 1719625745.7803
MEM 249.695312 1719625745.8811
MEM 258.945312 1719625745.9838
MEM 265.070312 1719625746.0843
MEM 289.070312 1719625746.1851
MEM 334.195312 1719625746.2860
MEM 357.195312 1719625746.3866
MEM 366.320312 1719625746.4874
MEM 375.195312 1719625746.5882
MEM 382.195312 1719625746.6891
MEM 390.695312 1719625746.7899
MEM 397.695312 1719625746.8906
MEM 405.695312 1719625746.9914
MEM 413.195312 1719625747.0945
MEM 421.070312 1719625747.1953
MEM 429.820312 1719625747.2962
MEM 445.820312 1719625747.3970
MEM 457.230469 1719625747.4977
MEM 464.105469 1719625747.5985
MEM 468.355469 1719625747.6993
MEM 471.730469 1719625747.8001
MEM 474.980469 1719625747.9008
MEM 477.230469 1719625748.0016
MEM 478.605469 1719625748.1025
MEM 480.980469 1719625748.2033
MEM 481.105469 1719625748.3041
MEM 483.730469 1719625748.4048
MEM 487.230469 1719625748.5057
MEM 489.105469 1719625748.6065
MEM 489.355469 1719625748.7073
MEM 492.230469 1719625748.8082
MEM 497.730469 1719625748.9090
MEM 500.980469 1719625749.0099
MEM 503.480469 1719625749.1105
MEM 503.480469 1719625749.2114
MEM 503.730469 1719625749.3122
MEM 507.480469 1719625749.4129
MEM 507.605469 1719625749.5137
MEM 508.355469 1719625749.6145
MEM 508.355469 1719625749.7153
MEM 508.480469 1719625749.8157
MEM 510.480469 1719625749.9165
MEM 514.355469 1719625750.0173
MEM 522.605469 1719625750.1182
MEM 529.605469 1719625750.2185
MEM 539.980469 1719625750.3193
MEM 545.355469 1719625750.4201
MEM 553.105469 1719625750.5209
MEM 558.480469 1719625750.6225
MEM 566.468750 1719625750.7234
MEM 696.468750 1719625750.8242
MEM 696.906250 1719625750.9251
MEM 698.656250 1719625751.0260
MEM 699.281250 1719625751.1266
MEM 702.406250 1719625751.2274
MEM 704.031250 1719625751.3283
MEM 728.406250 1719625751.4305
MEM 968.656250 1719625751.5347
MEM 1152.281250 1719625751.6356
MEM 1274.531250 1719625751.7364
MEM 1400.156250 1719625751.8373
MEM 1485.781250 1719625751.9386
MEM 1485.781250 1719625752.0426
MEM 1485.781250 1719625752.1467
MEM 1485.781250 1719625752.2508
MEM 1485.781250 1719625752.3546
MEM 1485.781250 1719625752.4560
MEM 1485.781250 1719625752.5586
MEM 1485.781250 1719625752.6595
MEM 1485.781250 1719625752.7626
MEM 1488.656250 1719625752.8665
MEM 1513.406250 1719625752.9712
MEM 1537.531250 1719625753.0745
MEM 1560.781250 1719625753.1786
MEM 1584.781250 1719625753.2825
MEM 1608.906250 1719625753.3866
MEM 1633.156250 1719625753.4905
MEM 1663.031250 1719625753.5914
MEM 1378.234375 1719625753.6923
MEM 1174.980469 1719625753.7946
MEM 1405.230469 1719625753.8976
MEM 1570.855469 1719625754.0023
MEM 1792.605469 1719625754.1066
MEM 1497.894531 1719625754.2077
MEM 1095.589844 1719625754.3085
MEM 1107.589844 1719625754.4094
MEM 1109.363281 1719625754.5103
MEM 1120.863281 1719625754.6112
MEM 1146.488281 1719625754.7117
MEM 1146.613281 1719625754.8132
MEM 1146.863281 1719625754.9146
MEM 1146.863281 1719625755.0156
MEM 1146.863281 1719625755.1186
MEM 1146.863281 1719625755.2194
MEM 1231.113281 1719625755.3226
MEM 1242.863281 1719625755.4249
MEM 1257.863281 1719625755.5265
MEM 1242.898438 1719625755.6274
MEM 1196.960938 1719625755.7282
MEM 1228.210938 1719625755.8290
MEM 1228.210938 1719625755.9305
MEM 1228.210938 1719625756.0347
MEM 1228.210938 1719625756.1385
MEM 1228.210938 1719625756.2428
MEM 1228.210938 1719625756.3467
MEM 1228.210938 1719625756.4506
MEM 1244.335938 1719625756.5515
