CMDLINE python3 train.py
MEM 0.375000 1720019002.7059
MEM 14.875000 1720019002.8068
MEM 18.750000 1720019002.9092
MEM 22.417969 1720019003.0100
MEM 29.292969 1720019003.1107
MEM 40.042969 1720019003.2116
MEM 47.792969 1720019003.3123
MEM 51.917969 1720019003.4153
MEM 54.667969 1720019003.5162
MEM 60.550781 1720019003.6170
MEM 63.925781 1720019003.7178
MEM 66.925781 1720019003.8189
MEM 71.175781 1720019003.9200
MEM 74.175781 1720019004.0208
MEM 76.425781 1720019004.1211
MEM 78.050781 1720019004.2219
MEM 80.675781 1720019004.3227
MEM 82.425781 1720019004.4235
MEM 84.425781 1720019004.5242
MEM 87.675781 1720019004.6250
MEM 88.800781 1720019004.7258
MEM 92.140625 1720019004.8266
MEM 94.265625 1720019004.9274
MEM 95.765625 1720019005.0282
MEM 96.890625 1720019005.1291
MEM 106.015625 1720019005.2302
MEM 109.390625 1720019005.3310
MEM 112.390625 1720019005.4317
MEM 116.265625 1720019005.5325
MEM 119.640625 1720019005.6331
MEM 123.015625 1720019005.7339
MEM 127.140625 1720019005.8346
MEM 131.015625 1720019005.9354
MEM 134.640625 1720019006.0362
MEM 138.015625 1720019006.1370
MEM 139.265625 1720019006.2378
MEM 143.140625 1720019006.3386
MEM 145.390625 1720019006.4394
MEM 147.265625 1720019006.5401
MEM 148.390625 1720019006.6409
MEM 150.015625 1720019006.7417
MEM 150.515625 1720019006.8425
MEM 156.890625 1720019006.9434
MEM 164.515625 1720019007.0442
MEM 169.390625 1720019007.1451
MEM 179.765625 1720019007.2460
MEM 187.265625 1720019007.3467
MEM 190.390625 1720019007.4476
MEM 198.765625 1720019007.5493
MEM 202.890625 1720019007.6500
MEM 206.765625 1720019007.7509
MEM 249.390625 1720019007.8519
MEM 284.640625 1720019007.9527
MEM 291.015625 1720019008.0531
MEM 294.640625 1720019008.1539
MEM 301.640625 1720019008.2547
MEM 306.140625 1720019008.3555
MEM 313.265625 1720019008.4563
MEM 318.390625 1720019008.5571
MEM 324.390625 1720019008.6579
MEM 329.765625 1720019008.7588
MEM 335.265625 1720019008.8596
MEM 339.640625 1720019008.9606
MEM 342.640625 1720019009.0611
MEM 353.515625 1720019009.1619
MEM 359.390625 1720019009.2653
MEM 364.890625 1720019009.3661
MEM 369.515625 1720019009.4669
MEM 373.390625 1720019009.5677
MEM 375.390625 1720019009.6684
MEM 378.140625 1720019009.7691
MEM 379.265625 1720019009.8703
MEM 380.765625 1720019009.9712
MEM 383.515625 1720019010.0720
MEM 385.015625 1720019010.1728
MEM 390.265625 1720019010.2731
MEM 393.765625 1720019010.3739
MEM 395.015625 1720019010.4747
MEM 395.390625 1720019010.5755
MEM 399.890625 1720019010.6763
MEM 405.015625 1720019010.7773
MEM 407.390625 1720019010.8780
MEM 409.390625 1720019010.9789
MEM 409.390625 1720019011.0797
MEM 409.390625 1720019011.1805
MEM 409.515625 1720019011.2811
MEM 412.265625 1720019011.3818
MEM 412.390625 1720019011.4826
MEM 412.515625 1720019011.5833
MEM 412.890625 1720019011.6843
MEM 413.640625 1720019011.7851
MEM 416.640625 1720019011.8859
MEM 419.140625 1720019011.9867
MEM 421.140625 1720019012.0875
MEM 424.265625 1720019012.1882
MEM 426.640625 1720019012.2886
MEM 429.140625 1720019012.3891
MEM 432.015625 1720019012.4899
MEM 435.015625 1720019012.5907
MEM 438.390625 1720019012.6914
MEM 440.640625 1720019012.7923
MEM 443.265625 1720019012.8931
MEM 445.390625 1720019012.9941
MEM 448.140625 1720019013.0946
MEM 451.265625 1720019013.1954
MEM 453.765625 1720019013.2961
MEM 457.140625 1720019013.3970
MEM 460.265625 1720019013.4977
MEM 463.890625 1720019013.5985
MEM 466.390625 1720019013.7021
MEM 469.140625 1720019013.8029
MEM 470.765625 1720019013.9037
MEM 472.140625 1720019014.0045
MEM 473.890625 1720019014.1053
MEM 473.890625 1720019014.2091
MEM 475.765625 1720019014.3098
MEM 476.265625 1720019014.4106
MEM 476.890625 1720019014.5114
MEM 478.015625 1720019014.6122
MEM 480.640625 1720019014.7143
MEM 481.140625 1720019014.8156
MEM 482.265625 1720019014.9164
MEM 484.015625 1720019015.0171
MEM 485.265625 1720019015.1179
MEM 485.890625 1720019015.2186
MEM 486.265625 1720019015.3194
MEM 487.515625 1720019015.4202
MEM 488.640625 1720019015.5209
MEM 496.015625 1720019015.6221
MEM 531.515625 1720019015.7230
MEM 566.140625 1720019015.8238
MEM 601.640625 1720019015.9247
MEM 636.890625 1720019016.0251
MEM 670.765625 1720019016.1259
MEM 698.265625 1720019016.2267
MEM 723.140625 1720019016.3276
MEM 747.390625 1720019016.4289
MEM 780.890625 1720019016.5297
MEM 815.265625 1720019016.6305
MEM 845.390625 1720019016.7313
MEM 869.140625 1720019016.8321
MEM 892.640625 1720019016.9330
MEM 917.890625 1720019017.0338
MEM 943.890625 1720019017.1346
MEM 967.890625 1720019017.2354
MEM 991.890625 1720019017.3362
MEM 756.382812 1720019017.4371
MEM 758.550781 1720019017.5379
MEM 758.925781 1720019017.6388
MEM 768.800781 1720019017.7396
MEM 775.300781 1720019017.8403
MEM 776.175781 1720019017.9411
MEM 776.175781 1720019018.0418
MEM 776.925781 1720019018.1447
MEM 777.550781 1720019018.2451
MEM 780.925781 1720019018.3483
MEM 784.175781 1720019018.4490
MEM 786.675781 1720019018.5498
MEM 788.550781 1720019018.6506
MEM 789.425781 1720019018.7511
MEM 789.925781 1720019018.8519
MEM 791.800781 1720019018.9527
MEM 793.800781 1720019019.0539
MEM 793.800781 1720019019.1554
MEM 793.800781 1720019019.2563
MEM 800.300781 1720019019.3571
MEM 827.203125 1720019019.4579
MEM 823.578125 1720019019.5587
MEM 829.078125 1720019019.6595
MEM 836.453125 1720019019.7603
MEM 847.078125 1720019019.8612
MEM 848.953125 1720019019.9620
MEM 848.953125 1720019020.0629
MEM 850.203125 1720019020.1637
MEM 852.703125 1720019020.2659
MEM 852.953125 1720019020.3668
MEM 855.328125 1720019020.4677
MEM 858.703125 1720019020.5691
MEM 860.578125 1720019020.6700
MEM 940.578125 1720019020.7731
MEM 1039.953125 1720019020.8772
MEM 1039.953125 1720019020.9786
MEM 1044.953125 1720019021.0811
MEM 1071.703125 1720019021.1835
MEM 982.292969 1720019021.2851
MEM 951.406250 1720019021.3860
MEM 953.156250 1720019021.4868
MEM 955.156250 1720019021.5877
MEM 958.781250 1720019021.6885
MEM 959.531250 1720019021.7891
MEM 959.656250 1720019021.8905
MEM 961.531250 1720019021.9913
MEM 962.031250 1720019022.0921
MEM 965.531250 1720019022.1930
MEM 970.781250 1720019022.2939
MEM 975.156250 1720019022.3943
MEM 977.656250 1720019022.4951
MEM 978.906250 1720019022.5960
MEM 980.281250 1720019022.6968
MEM 990.656250 1720019022.7971
MEM 993.031250 1720019022.8979
MEM 996.906250 1720019022.9987
MEM 1000.406250 1720019023.0996
MEM 1004.906250 1720019023.2004
MEM 1011.281250 1720019023.3013
MEM 1011.281250 1720019023.4021
MEM 1012.031250 1720019023.5030
MEM 1021.210938 1720019023.6038
MEM 1030.210938 1720019023.7046
MEM 1030.210938 1720019023.8051
MEM 1031.085938 1720019023.9059
MEM 1032.710938 1720019024.0068
MEM 1033.335938 1720019024.1073
MEM 1055.835938 1720019024.2080
MEM 1073.835938 1720019024.3091
MEM 1087.335938 1720019024.4131
MEM 1104.835938 1720019024.5147
MEM 1116.585938 1720019024.6171
MEM 1145.835938 1720019024.7180
MEM 1150.460938 1720019024.8201
MEM 1175.085938 1720019024.9210
MEM 1192.960938 1720019025.0251
MEM 1204.335938 1720019025.1276
MEM 1233.585938 1720019025.2291
MEM 1249.460938 1720019025.3309
MEM 1262.960938 1720019025.4319
MEM 1282.460938 1720019025.5327
MEM 1292.335938 1720019025.6331
MEM 1321.585938 1720019025.7345
MEM 1337.335938 1720019025.8396
MEM 1350.835938 1720019025.9404
MEM 1354.335938 1720019026.0425
MEM 1380.210938 1720019026.1443
MEM 1380.335938 1720019026.2451
MEM 1380.460938 1720019026.3459
MEM 1380.835938 1720019026.4468
MEM 1381.085938 1720019026.5476
MEM 1381.210938 1720019026.6484
MEM 1411.085938 1720019026.7491
MEM 1441.210938 1720019026.8500
MEM 1471.210938 1720019026.9514
MEM 1504.210938 1720019027.0522
MEM 1537.210938 1720019027.1529
MEM 1570.710938 1720019027.2537
MEM 1600.210938 1720019027.3546
MEM 1631.210938 1720019027.4554
MEM 1664.210938 1720019027.5563
MEM 1698.210938 1720019027.6572
MEM 1737.835938 1720019027.7580
MEM 1817.710938 1720019027.8588
MEM 1947.335938 1720019027.9597
MEM 1959.640625 1720019028.0606
MEM 2073.390625 1720019028.1612
MEM 2175.390625 1720019028.2657
MEM 1896.367188 1720019028.3665
MEM 1855.789062 1720019028.4675
MEM 1920.414062 1720019028.5683
MEM 2024.414062 1720019028.6691
MEM 2134.789062 1720019028.7731
MEM 2202.664062 1720019028.8771
MEM 2075.917969 1720019028.9802
MEM 2049.753906 1720019029.0810
MEM 2051.929688 1720019029.1838
MEM 2052.054688 1720019029.2851
MEM 2052.054688 1720019029.3893
MEM 2052.304688 1720019029.4901
MEM 2067.929688 1720019029.5910
MEM 2120.554688 1720019029.6919
MEM 2244.304688 1720019029.7928
MEM 2323.554688 1720019029.8971
MEM 2436.304688 1720019029.9980
MEM 2554.804688 1720019030.1036
MEM 2692.179688 1720019030.2094
MEM 2815.679688 1720019030.3103
MEM 2726.812500 1720019030.4133
MEM 2820.437500 1720019030.5172
MEM 2628.441406 1720019030.6180
MEM 2747.066406 1720019030.7212
MEM 2820.441406 1720019030.8220
MEM 2977.816406 1720019030.9229
MEM 3091.316406 1720019031.0331
MEM 3090.773438 1720019031.1340
MEM 3141.667969 1720019031.2371
MEM 2713.000000 1720019031.3379
MEM 2244.425781 1720019031.4388
MEM 2247.925781 1720019031.5411
MEM 2247.925781 1720019031.6491
MEM 2247.925781 1720019031.7511
MEM 2247.925781 1720019031.8529
MEM 2247.925781 1720019031.9571
MEM 2247.925781 1720019032.0651
MEM 2247.925781 1720019032.1691
MEM 2247.925781 1720019032.2731
MEM 2247.925781 1720019032.3771
MEM 2247.925781 1720019032.4811
MEM 2247.925781 1720019032.5851
MEM 2247.925781 1720019032.6885
MEM 2247.925781 1720019032.7931
MEM 2247.925781 1720019032.9011
MEM 2247.925781 1720019033.0051
MEM 2247.925781 1720019033.1091
MEM 2247.925781 1720019033.2131
MEM 2247.925781 1720019033.3196
MEM 2247.925781 1720019033.4211
MEM 2247.925781 1720019033.5251
MEM 2247.925781 1720019033.6291
MEM 2247.925781 1720019033.7337
MEM 2247.925781 1720019033.8371
MEM 2247.925781 1720019033.9411
MEM 2247.925781 1720019034.0451
MEM 2247.925781 1720019034.1492
MEM 2247.925781 1720019034.2531
MEM 2247.925781 1720019034.3564
MEM 2247.925781 1720019034.4571
MEM 2377.800781 1720019034.5606
MEM 2439.925781 1720019034.6651
MEM 2439.925781 1720019034.7682
MEM 2439.925781 1720019034.8691
MEM 2439.925781 1720019034.9731
MEM 2439.925781 1720019035.0741
MEM 2439.925781 1720019035.1772
MEM 2439.925781 1720019035.2811
MEM 2439.925781 1720019035.3819
MEM 2439.925781 1720019035.4851
MEM 2439.925781 1720019035.5891
MEM 2439.925781 1720019035.6931
MEM 2439.925781 1720019035.7972
MEM 2439.925781 1720019035.9012
MEM 2439.925781 1720019036.0052
MEM 2439.925781 1720019036.1091
MEM 2439.925781 1720019036.2131
MEM 2439.925781 1720019036.3171
MEM 2439.925781 1720019036.4211
MEM 2439.925781 1720019036.5251
MEM 2439.925781 1720019036.6260
MEM 2439.925781 1720019036.7291
MEM 2439.925781 1720019036.8307
MEM 2516.800781 1720019036.9331
MEM 2633.175781 1720019037.0371
MEM 2633.175781 1720019037.1411
MEM 2633.175781 1720019037.2437
MEM 2633.175781 1720019037.3451
MEM 2633.175781 1720019037.4491
MEM 2633.175781 1720019037.5531
MEM 2633.175781 1720019037.6571
MEM 2633.175781 1720019037.7611
MEM 2633.175781 1720019037.8651
MEM 2633.175781 1720019037.9691
MEM 2633.175781 1720019038.0731
MEM 2633.175781 1720019038.1771
MEM 2633.175781 1720019038.2811
MEM 2633.175781 1720019038.3851
MEM 2633.175781 1720019038.4875
MEM 2633.175781 1720019038.5891
MEM 2633.175781 1720019038.6931
MEM 2633.175781 1720019038.7972
MEM 2633.175781 1720019038.9011
MEM 2633.175781 1720019039.0053
MEM 2633.175781 1720019039.1091
MEM 2663.800781 1720019039.2131
MEM 2825.175781 1720019039.3140
MEM 2703.269531 1720019039.4148
MEM 2765.843750 1720019039.5156
MEM 2738.144531 1720019039.6164
MEM 2633.269531 1720019039.7171
MEM 2633.269531 1720019039.8179
MEM 2764.519531 1720019039.9211
MEM 2846.019531 1720019040.0252
MEM 2968.644531 1720019040.1292
MEM 3064.394531 1720019040.2301
MEM 3209.519531 1720019040.3310
MEM 3266.019531 1720019040.4412
MEM 3329.644531 1720019040.5436
MEM 3391.769531 1720019040.6475
MEM 3437.394531 1720019040.7491
MEM 3478.269531 1720019040.8531
MEM 3524.019531 1720019040.9555
MEM 3568.394531 1720019041.0571
